scenario,seed,method,n_dogs,completion_G0_s,completion_G0_done_s,path_ratio_G0,completion_G1_s,completion_G1_done_s,path_ratio_G1,completion_G2_s,completion_G2_done_s,path_ratio_G2,completion_G3_s,completion_G3_done_s,path_ratio_G3,completion_G4_s,completion_G4_done_s,path_ratio_G4,completion_G5_s,completion_G5_done_s,path_ratio_G5,max_hard_slack_m,all_done,timeouts,deadlock,makespan_s,mean_completion_s,path_ratio,min_dogdog_m,min_dogwall_m,viol_steps_dog,max_viol_depth_m,viol_steps_wall,intervention_rate,stop_steps,reject_steps,mean_dcmd,max_dcmd,filter_p50_ms,filter_p99_ms,condition,n_falls,diverged,arena,wall_s
S5,1000,nominal+raw,6,7.66,7.66,0.9831943780422162,7.46,7.46,0.9885779600640032,2.7800000000000002,2.7800000000000002,0.9847674723717498,8.0,8.0,0.9781156815660519,2.08,2.08,0.9637951336370353,9.36,9.36,0.9785272284313922,0.0,True,0,False,9.36,6.223333333333334,0.9794963090187414,0.22022349785344458,nan,109,0.4797765021465554,0,0.0,0,0,0.0,0.0,0.0021597370505332947,0.008672010153532028,nominal+raw,0,False,0,48.9
S5,1003,nominal+raw,6,2.84,2.84,1.0485363069797304,9.14,9.14,1.066628933533318,7.3,7.3,0.9770172059589126,8.68,8.68,0.9810599947784489,10.44,10.44,1.010824347752064,7.3,7.3,0.9887543559795972,0.0,True,0,False,10.44,7.616666666666666,1.0121368574970118,0.12703954179904295,nan,245,0.572960458200957,0,0.0,0,0,0.0,0.0,0.0018719583749771118,0.0032158568501472473,nominal+raw,0,False,3,54.3
S5,1004,nominal+raw,6,3.8000000000000003,3.8000000000000003,0.9813675562150448,7.54,7.54,0.9693846306579942,2.54,2.54,0.9607618028999833,7.0600000000000005,7.0600000000000005,0.9749849335710205,5.86,5.86,0.967532150156276,1.2,1.2,0.9844782033159191,0.0,True,0,False,7.54,4.666666666666667,0.9730848794693729,1.2010450019116892,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.001903623342514038,0.0033602118492126465,nominal+raw,0,False,0,40.5
S5,1005,nominal+raw,6,0.92,0.92,0.7686501911941628,2.0,2.0,0.9707035872996599,6.74,6.74,0.9718865380001376,7.78,7.78,0.9740092005127121,5.1000000000000005,5.1000000000000005,0.9984018574590887,3.7,3.7,0.9748218363978922,0.0,True,0,False,7.78,4.373333333333334,0.9430788684772755,0.32962325317242885,nan,73,0.3703767468275711,0,0.0,0,0,0.0,0.0,0.0018719583749771118,0.0032796524465084076,nominal+raw,0,False,3,41.6
S5,1001,nominal+raw,6,9.66,9.66,1.0546238204710363,8.66,8.66,1.1079387516151111,1.3,1.3,2.830047069855242,9.76,9.76,1.0650814006521867,60.0,nan,nan,8.84,8.84,1.0930573910018087,0.0,False,1,True,60.0,7.644,1.430149686719077,0.09107063232147412,nan,2893,0.6089293676785258,0,0.0,0,0,0.0,0.0,0.0021122395992279053,0.008863862603902817,nominal+raw,1,False,1,288.8
S5,1002,nominal+raw,6,60.0,nan,nan,60.0,nan,nan,60.0,nan,nan,60.0,nan,nan,4.82,4.82,1.0554275734260745,9.3,9.3,1.1593000900253436,0.0,False,4,True,60.0,7.0600000000000005,1.107363831725709,0.18502326428136695,nan,2953,0.514976735718633,0,0.0,0,0,0.0,0.0,0.0019040890038013458,0.003039836883544922,nominal+raw,0,False,2,288.8
S5,1008,nominal+raw,6,3.6,3.6,0.9623517361092231,8.2,8.2,0.970531778171889,8.14,8.14,0.9727532262096916,6.640000000000001,6.640000000000001,0.9774612191257489,1.42,1.42,1.2305097734290946,6.84,6.84,0.9791543250228405,0.0,True,0,False,8.2,5.806666666666667,1.0154603430114146,1.326325151633869,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.0018882565200328827,0.003136228770017624,nominal+raw,0,False,1,43.6
S5,1006,nominal+raw,6,7.84,7.84,1.18943300938643,5.5600000000000005,5.5600000000000005,1.273240856907572,6.62,6.62,1.2580191197649668,5.34,5.34,1.0583969043120083,60.0,nan,nan,60.0,nan,nan,0.0,False,2,True,60.0,6.34,1.1947724725927442,0.20061811898723858,nan,2810,0.4993818810127614,0,0.0,0,0,0.0,0.0,0.0019515864551067352,0.008448958396911621,nominal+raw,0,False,0,288.5
S5,1007,nominal+raw,6,60.0,nan,nan,6.0200000000000005,6.0200000000000005,1.1678933437218832,5.4,5.4,1.1963644758716696,60.0,nan,nan,5.12,5.12,1.2167072169023152,5.8,5.8,1.2881464750428746,0.0,False,2,True,60.0,5.585,1.2172778778846856,0.2264970207913311,nan,2953,0.47350297920866885,0,0.0,0,0,0.0,0.0,0.0018719583749771118,0.003152061253786087,nominal+raw,0,False,3,288.5
S5,1012,nominal+raw,6,2.16,2.16,0.9599194010194058,7.28,7.28,0.9676647443645072,5.92,5.92,0.9686212286378773,6.48,6.48,0.9705889095576429,4.5,4.5,0.9614600835251973,1.06,1.06,1.0546476418725454,0.0,True,0,False,7.28,4.566666666666666,0.9804836681628626,1.0702204561458262,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.0018728896975517273,0.0033276155591011047,nominal+raw,0,False,3,39.0
