scenario,seed,method,n_dogs,completion_G0_s,completion_G0_done_s,path_ratio_G0,completion_G1_s,completion_G1_done_s,path_ratio_G1,completion_G2_s,completion_G2_done_s,path_ratio_G2,completion_G3_s,completion_G3_done_s,path_ratio_G3,completion_G4_s,completion_G4_done_s,path_ratio_G4,completion_G5_s,completion_G5_done_s,path_ratio_G5,max_hard_slack_m,all_done,timeouts,deadlock,makespan_s,mean_completion_s,path_ratio,min_dogdog_m,min_dogwall_m,viol_steps_dog,max_viol_depth_m,viol_steps_wall,intervention_rate,stop_steps,reject_steps,mean_dcmd,max_dcmd,filter_p50_ms,filter_p99_ms,condition,n_falls,diverged,arena,wall_s
S5,3,nominal+raw,6,1.8800000000000001,1.8800000000000001,0.9373903210248175,11.38,11.38,0.9929378819927367,7.82,7.82,0.982562991331421,4.1,4.1,1.0102939967486684,2.06,2.06,0.921785465158399,10.46,10.46,0.9883530248606287,0.0,True,0,False,11.38,6.283333333333333,0.9722206135194452,0.1991614354877001,nan,162,0.5008385645122999,0,0.0,0,0,0.0,0.0,0.015183817595243454,0.021472107619047165,nominal+raw,0,False,3,57.6
S5,2,nominal+raw,6,12.22,12.22,0.9805018279712746,4.86,4.86,0.9882743004248292,4.74,4.74,1.001073990664435,6.74,6.74,1.0010707401692955,5.86,5.86,1.0014857386345661,9.24,9.24,0.9839911777353992,0.0,True,0,False,12.22,7.276666666666667,0.9927329625999666,0.36617166711347293,nan,71,0.333828332886527,0,0.0,0,0,0.0,0.0,0.015295576304197311,0.02172822132706642,nominal+raw,0,False,2,61.8
S5,5,nominal+raw,6,3.18,3.18,0.9696532397171014,8.700000000000001,8.700000000000001,0.9756749746477443,5.58,5.58,0.9734554964754837,3.62,3.62,0.9814192781540474,7.5,7.5,0.9729939195523092,1.98,1.98,0.9875692205583142,0.0,True,0,False,8.700000000000001,5.093333333333334,0.9767943548508333,0.4297942641432713,nan,33,0.27020573585672863,0,0.0,0,0,0.0,0.0,0.015632249414920807,0.02204766497015953,nominal+raw,0,False,2,45.6
S5,4,nominal+raw,6,2.08,2.08,1.153252106509761,12.98,12.98,1.013832289824532,2.7600000000000002,2.7600000000000002,1.0156406317387092,9.96,9.96,0.9926004411345315,4.94,4.94,0.979100836593969,8.86,8.86,1.0168184038109476,0.0,True,0,False,12.98,6.930000000000001,1.0285407849354085,0.14298383622551689,nan,306,0.557016163774483,0,0.0,0,0,0.0,0.0,0.015824101865291595,0.023311935365200043,nominal+raw,0,False,3,66.0
S5,6,nominal+raw,6,7.2,7.2,0.9831198497371229,5.0600000000000005,5.0600000000000005,1.0129312814901839,1.54,1.54,0.9334100353595214,5.64,5.64,0.9780801771096022,10.68,10.68,0.9910796227782646,4.72,4.72,1.010083908233565,0.0,True,0,False,10.68,5.806666666666667,0.98478414578471,0.21392489529406175,nan,74,0.4860751047059382,0,0.0,0,0,0.0,0.0,0.015807803720235825,0.023088417947292328,nominal+raw,0,False,2,54.9
S5,8,nominal+raw,6,3.08,3.08,0.9880657394594992,9.26,9.26,0.9752974770032915,2.3000000000000003,2.3000000000000003,1.0316175413125506,7.92,7.92,0.9765897482765895,3.46,3.46,0.9768556581107468,5.92,5.92,0.9853690350977526,0.0,True,0,False,9.26,5.323333333333333,0.988965866543405,0.550682923921974,nan,27,0.1493170760780259,0,0.0,0,0,0.0,0.0,0.015391968190670013,0.022431835532188416,nominal+raw,0,False,2,48.0
S5,0,nominal+raw,6,60.0,nan,nan,3.3200000000000003,3.3200000000000003,1.4098411258690533,60.0,nan,nan,6.26,6.26,1.3021187862389985,1.72,1.72,1.0110648401239741,5.42,5.42,1.1772184034449427,0.0,False,2,True,60.0,4.18,1.2250607889192422,0.20082875290094118,nan,2902,0.4991712470990588,0,0.0,0,0,0.0,0.0,0.01737615093588829,0.03651203587651253,nominal+raw,0,False,0,286.0
S5,1,nominal+raw,6,60.0,nan,nan,4.14,4.14,1.4418736119148494,8.48,8.48,1.1420440988319076,60.0,nan,nan,2.64,2.64,1.5327112381423875,5.1000000000000005,5.1000000000000005,1.2000366910045013,0.0,False,2,True,60.0,5.09,1.3291664099734115,0.12267997589695585,nan,2762,0.5773200241030441,0,0.0,0,0,0.0,0.0,0.015600118786096573,0.02363184466958046,nominal+raw,0,False,1,286.1
S5,11,nominal+raw,6,7.140000000000001,7.140000000000001,1.0070788592814235,7.08,7.08,0.9946401553560095,5.3,5.3,0.9907192167813436,9.74,9.74,0.9816128968695427,10.4,10.4,1.0339958319219902,2.56,2.56,1.0746262045322923,0.0,True,0,False,10.4,7.036666666666667,1.0137788607904337,0.21388165964347958,nan,245,0.48611834035652035,0,0.0,0,0,0.0,0.0,0.015935860574245453,0.021968036890029907,nominal+raw,0,False,1,53.6
S5,10,nominal+raw,6,2.64,2.64,1.024047254124375,5.88,5.88,0.9876125948756352,6.0,6.0,0.9851433232725939,3.68,3.68,0.9919457865504824,5.74,5.74,0.9954610561577156,12.6,12.6,0.9815440840012785,0.0,True,0,False,12.6,6.09,0.9942923498303468,0.9921085136217014,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.016239937394857407,0.02377619966864586,nominal+raw,0,False,0,63.9
S5,13,nominal+raw,6,4.82,4.82,0.965714670282762,0.66,0.66,0.9146547998194872,2.7,2.7,0.9615234282041747,5.98,5.98,0.9639849058178442,6.28,6.28,0.9664293755402391,1.8800000000000001,1.8800000000000001,0.9816070751461906,0.0,True,0,False,6.28,3.72,0.9589857091351163,1.7098816814006097,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.016096048057079315,0.023344065994024277,nominal+raw,0,False,0,34.3
S5,12,nominal+raw,6,5.72,5.72,0.9899049410189269,5.32,5.32,0.9840950977204861,1.9000000000000001,1.9000000000000001,1.005340939856841,1.8,1.8,0.9696876412507488,4.12,4.12,0.9796405471102491,9.38,9.38,0.9770210770101847,0.0,True,0,False,9.38,4.706666666666667,0.9842817073279061,0.8440044413834582,nan,0,0.0,0,0.0,0,0,0.0,0.0,0.016352161765098572,0.023535918444395065,nominal+raw,0,False,1,48.7
S5,7,nominal+raw,6,3.68,3.68,1.2820533225302289,60.0,nan,nan,3.64,3.64,1.174563432175888,2.7600000000000002,2.7600000000000002,1.7385397081863312,3.08,3.08,1.3408348935833074,60.0,nan,nan,0.0,False,2,True,60.0,3.29,1.383997839118939,0.18133806378864686,nan,2869,0.5186619362113531,0,0.0,0,0,0.0,0.0,0.01627206802368164,0.035056378692388535,nominal+raw,0,False,3,286.2
S5,14,nominal+raw,6,6.7,6.7,0.9652394453759975,6.32,6.32,0.9727344628657819,1.6400000000000001,1.6400000000000001,0.9218242458674086,3.64,3.64,0.9620785067234195,4.18,4.18,0.960796812844525,1.82,1.82,0.9564824813309434,0.0,True,0,False,6.7,4.05,0.956525992501346,0.40364367017358693,nan,86,0.296356329826413,0,0.0,0,0,0.0,0.0,0.016528181731700897,0.024784356355667114,nominal+raw,0,False,0,36.5
S5,9,nominal+raw,6,60.0,nan,nan,60.0,nan,nan,60.0,nan,nan,3.3000000000000003,3.3000000000000003,1.0608946170124038,9.34,9.34,1.1112965211638985,3.14,3.14,1.1710213732352455,0.0,False,3,True,60.0,5.26,1.1144041704705159,0.1262277663874257,nan,2917,0.5737722336125742,0,0.0,0,0,0.0,0.0,0.01640012487769127,0.034559983760118484,nominal+raw,0,False,2,287.0
S5,18,nominal+raw,6,5.08,5.08,0.9964203622676282,0.38,0.38,0.3974753432043574,4.6000000000000005,4.6000000000000005,0.9951214049573828,5.66,5.66,1.0969767459138302,5.72,5.72,0.9863350034880686,12.96,12.96,1.0102984210089816,0.0,True,0,False,12.96,5.733333333333333,0.9137712134733748,0.14268803840232916,nan,214,0.5573119615976708,0,0.0,0,0,0.0,0.0,0.01612771302461624,0.02315174788236618,nominal+raw,0,False,2,66.1
S5,15,nominal+raw,6,3.12,3.12,1.3210167885041881,60.0,nan,nan,1.6,1.6,2.4241020995953155,60.0,nan,nan,3.5,3.5,1.3099568242698136,1.26,1.26,2.604299993318341,0.0,False,2,True,60.0,2.37,1.9148439264219146,0.12901117524890218,nan,2966,0.5709888247510978,0,0.0,0,0,0.0,0.0,0.016991980373859406,0.03595184534788132,nominal+raw,0,False,1,287.6
